Portfolio,Entity,Item,Type,Departmental Operating $'000,Departmental Non-operating $'000,Departmental External Revenue $'000,Departmental Special Appropriation $'000,Special Accounts $'000,Administered Operating $'000,Administered SPPs $'000,Administered Non-operating $'000,Administered Special Appropriation $'000,Total $'000
"AGRICULTURE, FISHERIES AND FORESTRY",Australian Pesticides and Veterinary Medicines Authority*,Outcome 1,Estimated Actual,5905,0,38696,0,0,0,0,0,0,44601
"AGRICULTURE, FISHERIES AND FORESTRY",Australian Pesticides and Veterinary Medicines Authority*,Total,Agency Resourcing,2260,0,45444,0,0,0,0,0,0,47704
"AGRICULTURE, FISHERIES AND FORESTRY",Australian Pesticides and Veterinary Medicines Authority*,Total,Estimated Actual,5905,0,38696,0,0,0,0,0,0,44601
"AGRICULTURE, FISHERIES AND FORESTRY",Cotton Research and Development Corporation*,Outcome 1,Agency Resourcing,0,0,25502,0,0,0,0,0,0,25502
"AGRICULTURE, FISHERIES AND FORESTRY",Cotton Research and Development Corporation*,Outcome 1,Estimated Actual,0,0,26729,0,0,0,0,0,0,26729
"AGRICULTURE, FISHERIES AND FORESTRY",Cotton Research and Development Corporation*,Total,Agency Resourcing,0,0,25502,0,0,0,0,0,0,25502
"AGRICULTURE, FISHERIES AND FORESTRY",Cotton Research and Development Corporation*,Total,Estimated Actual,0,0,26729,0,0,0,0,0,0,26729
"AGRICULTURE, FISHERIES AND FORESTRY",Fisheries Research and Development Corporation*,Outcome 1,Agency Resourcing,0,0,48233,0,0,0,0,0,0,48233
"AGRICULTURE, FISHERIES AND FORESTRY",Fisheries Research and Development Corporation*,Outcome 1,Estimated Actual,0,0,50058,0,0,0,0,0,0,50058
"AGRICULTURE, FISHERIES AND FORESTRY",Fisheries Research and Development Corporation*,Total,Agency Resourcing,0,0,48233,0,0,0,0,0,0,48233
"AGRICULTURE, FISHERIES AND FORESTRY",Fisheries Research and Development Corporation*,Total,Estimated Actual,0,0,50058,0,0,0,0,0,0,50058
"AGRICULTURE, FISHERIES AND FORESTRY",Grains Research and Development Corporation*,Outcome 1,Agency Resourcing,0,0,296866,0,0,0,0,0,0,296866
"AGRICULTURE, FISHERIES AND FORESTRY",Grains Research and Development Corporation*,Outcome 1,Estimated Actual,0,0,386349,0,0,0,0,0,0,386349
"AGRICULTURE, FISHERIES AND FORESTRY",Grains Research and Development Corporation*,Total,Agency Resourcing,0,0,296866,0,0,0,0,0,0,296866
